fecha,localidad,anio,mes,viajeros_total,pernoctes_total,estadia_promedio,tiene_motogp,pasajeros_sde,es_termas,es_motogp,interaccion_did,baseline_viajeros_termas,uplift_vs_baseline
2018-03-01,Santiago del Estero,2018,3,22496.0,32816.0,1.46,1,9235.0,0,1,0,28405.0,-5909.0
2018-03-01,Termas,2018,3,31570.0,82418.0,2.61,1,9235.0,1,1,1,28405.0,3165.0
2018-04-01,Santiago del Estero,2018,4,22220.0,33704.0,1.52,1,11963.0,0,1,0,28405.0,-6185.0
2018-04-01,Termas,2018,4,37904.0,121924.0,3.22,1,11963.0,1,1,1,28405.0,9499.0
2019-03-01,Santiago del Estero,2019,3,25484.0,39560.0,1.55,1,15438.0,0,1,0,28405.0,-2921.0
2019-03-01,Termas,2019,3,30438.0,84574.0,2.78,1,15438.0,1,1,1,28405.0,2033.0
2019-04-01,Santiago del Estero,2019,4,22924.0,36250.0,1.58,1,14159.0,0,1,0,28405.0,-5481.0
2019-04-01,Termas,2019,4,30538.0,101702.0,3.33,1,14159.0,1,1,1,28405.0,2133.0
2022-03-01,Santiago del Estero,2022,3,27999.0,48832.0,1.74,1,12457.0,0,1,0,28405.0,-406.0
2022-03-01,Termas,2022,3,23914.0,72654.0,3.04,1,12457.0,1,1,1,28405.0,-4491.0
2022-04-01,Santiago del Estero,2022,4,33832.0,63634.0,1.88,1,18055.0,0,1,0,28405.0,5427.0
2022-04-01,Termas,2022,4,45594.0,162102.0,3.56,1,18055.0,1,1,1,28405.0,17189.0
2023-03-01,Santiago del Estero,2023,3,26516.0,43908.0,1.66,1,22877.0,0,1,0,28405.0,-1889.0
2023-03-01,Termas,2023,3,22498.0,56246.0,2.5,1,22877.0,1,1,1,28405.0,-5907.0
2023-04-01,Santiago del Estero,2023,4,27030.0,47634.0,1.76,1,20633.0,0,1,0,28405.0,-1375.0
2023-04-01,Termas,2023,4,28196.0,75456.0,2.68,1,20633.0,1,1,1,28405.0,-209.0
2024-03-01,Santiago del Estero,2024,3,18212.0,30864.0,1.69,0,18189.0,0,0,0,28405.0,-10193.0
2024-03-01,Termas,2024,3,24882.0,63284.0,2.54,0,18189.0,1,0,0,28405.0,-3523.0
2024-04-01,Santiago del Estero,2024,4,19172.0,31548.0,1.65,0,17490.0,0,0,0,28405.0,-9233.0
2024-04-01,Termas,2024,4,31928.0,77996.0,2.44,0,17490.0,1,0,0,28405.0,3523.0
2025-03-01,Santiago del Estero,2025,3,21136.0,35934.0,1.7,1,23504.0,0,1,0,28405.0,-7269.0
2025-03-01,Termas,2025,3,42150.0,109354.0,2.59,1,23504.0,1,1,1,28405.0,13745.0
2025-04-01,Santiago del Estero,2025,4,21906.0,36118.0,1.65,1,16263.0,0,1,0,28405.0,-6499.0
2025-04-01,Termas,2025,4,40548.0,100844.0,2.49,1,16263.0,1,1,1,28405.0,12143.0
