fecha,anio,mes,receptivo_total,emisivo_total,saldo_balanza,tcn_usd,var_receptivo_ia,var_emisivo_ia,flag_covid
2016-01-01,2016,1,653549,1501931,-848382,13.77,,,0
2016-02-01,2016,2,597116,1461785,-864669,14.93,,,0
2016-03-01,2016,3,489450,933967,-444517,15.12,,,0
2016-04-01,2016,4,381574,607457,-225883,14.62,,,0
2016-05-01,2016,5,360224,582348,-222124,14.33,,,0
2016-06-01,2016,6,328675,568230,-239555,14.33,,,0
2016-07-01,2016,7,481889,813382,-331493,15.1,,,0
2016-08-01,2016,8,406752,652735,-245983,15.04,,,0
2016-09-01,2016,9,420346,650078,-229732,15.27,,,0
2016-10-01,2016,10,454994,785342,-330348,15.39,,,0
2016-11-01,2016,11,457791,697461,-239670,15.54,,,0
2016-12-01,2016,12,608561,815838,-207277,16.05,,,0
2017-01-01,2017,1,630755,1854196,-1223441,16.11,-3.5,23.5,0
2017-02-01,2017,2,545835,1687800,-1141965,15.78,-8.6,15.5,0
2017-03-01,2017,3,447042,1087888,-640846,15.72,-8.7,16.5,0
2017-04-01,2017,4,445709,868748,-423039,15.55,16.8,43.0,0
2017-05-01,2017,5,362823,729482,-366659,15.92,0.7,25.3,0
2017-06-01,2017,6,335730,614411,-278681,16.3,2.1,8.1,0
2017-07-01,2017,7,494318,954728,-460410,17.37,2.6,17.4,0
2017-08-01,2017,8,411755,748567,-336812,17.63,1.2,14.7,0
2017-09-01,2017,9,446544,741999,-295455,17.43,6.2,14.1,0
2017-10-01,2017,10,474308,839188,-364880,17.66,4.2,6.9,0
2017-11-01,2017,11,466045,779786,-313741,17.69,1.8,11.8,0
2017-12-01,2017,12,645852,845354,-199502,17.81,6.1,3.6,0
2018-01-01,2018,1,667082,1916289,-1249207,19.03,5.8,3.3,0
2018-02-01,2018,2,565733,1759030,-1193297,19.83,3.6,4.2,0
2018-03-01,2018,3,484085,1044952,-560867,20.23,8.3,-3.9,0
2018-04-01,2018,4,431283,998236,-566953,20.25,-3.2,14.9,0
2018-05-01,2018,5,381746,739071,-357325,23.6,5.2,1.3,0
2018-06-01,2018,6,325779,545990,-220211,26.65,-3.0,-11.1,0
2018-07-01,2018,7,494999,783355,-288356,27.6,0.1,-17.9,0
2018-08-01,2018,8,416727,603560,-186833,29.93,1.2,-19.4,0
2018-09-01,2018,9,491307,563118,-71811,38.48,10.0,-24.1,0
2018-10-01,2018,10,478334,597441,-119107,37.04,0.8,-28.8,0
2018-11-01,2018,11,521810,546250,-24440,36.35,12.0,-29.9,0
2018-12-01,2018,12,655642,636184,19458,37.82,1.5,-24.7,0
2019-01-01,2019,1,716025,1273559,-557534,37.35,7.3,-33.5,0
2019-02-01,2019,2,569259,1165941,-596682,38.34,0.6,-33.7,0
2019-03-01,2019,3,516720,904295,-387575,41.32,6.7,-13.5,0
2019-04-01,2019,4,500360,687018,-186658,43.21,16.0,-31.2,0
2019-05-01,2019,5,405739,569698,-163959,44.82,6.3,-22.9,0
2019-06-01,2019,6,383795,576270,-192475,43.74,17.8,5.5,0
2019-07-01,2019,7,540458,711975,-171517,42.47,9.2,-9.1,0
2019-08-01,2019,8,439536,624122,-184586,52.24,5.5,3.4,0
2019-09-01,2019,9,517883,574970,-57087,56.69,5.4,2.1,0
2019-10-01,2019,10,466578,586439,-119861,58.52,-2.5,-1.8,0
2019-11-01,2019,11,506277,555583,-49306,59.71,-3.0,1.7,0
2019-12-01,2019,12,668909,581744,87165,59.88,2.0,-8.6,0
2020-01-01,2020,1,726728,1135816,-409088,59.98,1.5,-10.8,0
2020-02-01,2020,2,654924,1179701,-524777,61.34,15.0,1.2,0
2020-03-01,2020,3,261020,316880,-55860,63.25,-49.5,-65.0,1
2020-04-01,2020,4,0,0,0,65.68,-100.0,-100.0,1
2020-05-01,2020,5,0,0,0,67.71,-100.0,-100.0,1
2020-06-01,2020,6,0,0,0,69.55,-100.0,-100.0,1
2020-07-01,2020,7,1208,5007,-3799,71.38,-99.8,-99.3,1
2020-08-01,2020,8,3296,5718,-2422,73.25,-99.3,-99.1,1
2020-09-01,2020,9,3904,9939,-6035,75.18,-99.2,-98.3,1
2020-10-01,2020,10,4623,16793,-12170,77.56,-99.0,-97.1,1
2020-11-01,2020,11,8783,30773,-21990,79.9,-98.3,-94.5,1
2020-12-01,2020,12,16836,55401,-38565,82.64,-97.5,-90.5,1
2021-01-01,2021,1,21488,60711,-39223,85.84,-97.0,-94.7,1
2021-02-01,2021,2,12062,58056,-45994,88.72,-98.2,-95.1,1
2021-03-01,2021,3,13550,52268,-38718,91.09,-94.8,-83.5,1
2021-04-01,2021,4,10345,27388,-17043,92.73,,,1
2021-05-01,2021,5,6978,30262,-23284,94.09,,,1
2021-06-01,2021,6,5845,37999,-32154,95.25,,,1
2021-07-01,2021,7,4680,27946,-23266,96.21,287.4,458.1,1
2021-08-01,2021,8,4160,43982,-39822,97.19,26.2,669.2,1
2021-09-01,2021,9,4541,51954,-47413,98.26,16.3,422.7,1
2021-10-01,2021,10,20048,83205,-63157,99.21,333.7,395.5,1
2021-11-01,2021,11,69094,145883,-76789,100.33,686.7,374.1,0
2021-12-01,2021,12,104962,170288,-65326,101.88,523.4,207.4,0
2022-01-01,2022,1,163697,410215,-246518,103.92,661.8,575.7,0
2022-02-01,2022,2,136223,462519,-326296,106.38,1029.4,696.7,0
2022-03-01,2022,3,190208,375449,-185241,109.37,1303.7,618.3,0
2022-04-01,2022,4,277005,363745,-86740,113.19,2577.7,1228.1,0
2022-05-01,2022,5,252543,351759,-99216,117.78,3519.1,1062.4,0
2022-06-01,2022,6,230354,349425,-119071,122.66,3841.0,819.6,0
2022-07-01,2022,7,361835,453467,-91632,128.39,7631.5,1522.7,0
2022-08-01,2022,8,328655,410907,-82252,135.29,7800.4,834.3,0
2022-09-01,2022,9,356767,427603,-70836,143.09,7756.6,723.0,0
2022-10-01,2022,10,379683,524185,-144502,152.05,1793.9,530.0,0
2022-11-01,2022,11,409448,435750,-26302,162.07,492.6,198.7,0
2022-12-01,2022,12,391690,441456,-49766,172.42,273.2,159.2,0
2023-01-01,2023,1,608337,1254285,-645948,182.06,271.6,205.8,0
2023-02-01,2023,2,561984,1122642,-560658,191.97,312.5,142.7,0
2023-03-01,2023,3,454165,661672,-207507,202.92,138.8,76.2,0
2023-04-01,2023,4,557091,518384,38707,215.79,101.1,42.5,0
2023-05-01,2023,5,469055,474729,-5674,231.09,85.7,35.0,0
2023-06-01,2023,6,411683,397564,14119,248.36,78.7,13.8,0
2023-07-01,2023,7,607923,510469,97454,265.98,68.0,12.6,0
2023-08-01,2023,8,497272,440067,57205,321.62,51.3,7.1,0
2023-09-01,2023,9,530461,429232,101229,350.01,48.7,0.4,0
2023-10-01,2023,10,563838,508833,55005,350.0,48.5,-2.9,0
2023-11-01,2023,11,572175,450258,121917,353.44,39.7,3.3,0
2023-12-01,2023,12,573691,446893,126798,638.97,46.5,1.2,0
2024-01-01,2024,1,756780,1081456,-324676,837.4,24.4,-13.8,0
2024-02-01,2024,2,615397,1026527,-411130,853.02,9.5,-8.6,0
2024-03-01,2024,3,531083,653280,-122197,869.55,16.9,-1.3,0
2024-04-01,2024,4,401460,692883,-291423,887.08,-27.9,33.7,0
2024-05-01,2024,5,331513,492679,-161166,904.79,-29.3,3.8,0
2024-06-01,2024,6,321452,487958,-166506,922.38,-21.9,22.7,0
2024-07-01,2024,7,491476,648866,-157390,941.73,-19.2,27.1,0
2024-08-01,2024,8,413845,498459,-84614,961.23,-16.8,13.3,0
2024-09-01,2024,9,444386,564245,-119859,981.27,-16.2,31.5,0
2024-10-01,2024,10,385151,638930,-253779,1000.92,-31.7,25.6,0
2024-11-01,2024,11,451576,645495,-193919,1020.92,-21.1,43.4,0
2024-12-01,2024,12,502948,676865,-173917,1041.55,-12.3,51.5,0
2025-01-01,2025,1,584272,1888274,-1304002,1062.48,-22.8,74.6,0
2025-02-01,2025,2,405708,1799312,-1393604,1077.76,-34.1,75.3,0
2025-03-01,2025,3,406699,1301416,-894717,1088.38,-23.4,99.2,0
2025-04-01,2025,4,383606,861250,-477644,1140.9,-4.4,24.3,0
2025-05-01,2025,5,294138,733714,-439576,1166.61,-11.3,48.9,0
2025-06-01,2025,6,305495,625638,-320143,1196.33,-5.0,28.2,0
2025-07-01,2025,7,409191,817312,-408121,1284.03,-16.7,26.0,0
2025-08-01,2025,8,378683,776223,-397540,1340.65,-8.5,55.7,0
2025-09-01,2025,9,357114,686853,-329739,1420.5,-19.6,21.7,0
2025-10-01,2025,10,358477,707122,-348645,1463.39,-6.9,10.7,0
2025-11-01,2025,11,442832,745481,-302649,1453.67,-1.9,15.5,0
2025-12-01,2025,12,458953,687776,-228823,1471.13,-8.7,1.6,0
2026-01-01,2026,1,591707,1729359,-1137652,1472.74,1.3,-8.4,0
2026-02-01,2026,2,442712,1600979,-1158267,1427.14,9.1,-11.0,0
2026-03-01,2026,3,433059,1042443,-609384,,6.5,-19.9,0
