fecha,anio,mes,turistas_norte,gasto_promedio_ars,tcn_usd,gasto_promedio_usd,estadia_media_noches,turistas_vacaciones,turistas_visita_familiar,turistas_trabajo,pct_vacaciones,turistas_hotel,turistas_casa_familiar,pct_hotel,turistas_auto,turistas_bus,turistas_avion,pct_auto
2024-04-01,2024,4,680309.0,76307.0,887.08,86.0,3.28,2428879.0,1163670.0,59103.0,59.8,963314.0,1298028.0,23.7,3276628.0,465250.0,259033.0,80.6
2024-01-01,2024,1,1183560.0,62704.0,837.4,75.0,5.09,7151891.0,2240389.0,197756.0,71.2,2134728.0,2843586.0,21.3,7731112.0,1677367.0,294283.0,77.0
2023-10-01,2023,10,571867.0,52954.0,350.0,151.0,4.41,3741865.0,1605656.0,104126.0,65.0,1400758.0,1801757.0,24.3,4371036.0,889554.0,374633.0,76.0
2023-07-01,2023,7,683003.36,62282.0,265.98,234.0,5.06,3362182.42,1334790.79,174184.47,65.5,1438534.4,1728515.08,28.0,3847487.88,807419.49,421442.32,75.0
2023-04-01,2023,4,463803.0,42687.0,215.79,198.0,3.49,3377103.0,1360934.0,85740.0,69.3,1675124.0,1560803.0,34.4,3585614.0,861104.0,380653.0,73.6
2023-01-01,2023,1,942596.0,20635.0,182.06,113.0,5.22,8647818.0,2194670.0,133994.0,77.8,2280955.0,3686811.0,20.5,8263529.0,2165174.0,380595.0,74.3
2022-10-01,2022,10,766712.0,22639.0,152.05,149.0,4.71,4685243.0,2139915.0,87767.0,65.5,1824705.0,2144347.0,25.5,5373520.0,1108276.0,506184.0,75.2
2022-07-01,2022,7,1024098.0,25446.0,128.39,198.0,5.05,3850462.0,1997598.0,115258.0,62.9,1746201.0,2140974.0,28.5,4456264.0,891301.0,619284.0,72.7
2022-04-01,2022,4,686864.0,12506.0,113.19,110.0,3.68,3344375.0,1730736.0,192623.0,62.1,987511.0,2123279.0,18.3,4325566.0,607358.0,293670.0,80.4
2022-01-01,2022,1,1011309.0,17832.0,103.92,172.0,6.7,9644123.0,2393034.0,150453.0,77.8,2846933.0,3028810.0,23.0,9261074.0,1881733.0,818903.0,74.8
2021-10-01,2021,10,649545.0,10205.0,99.21,103.0,5.06,3044218.0,1918671.0,71211.0,56.9,1766359.0,2266253.0,33.0,3875248.0,725268.0,443929.0,72.4
2021-07-01,2021,7,541066.0,9061.0,96.21,94.0,3.99,2358421.0,1370378.0,75966.0,57.7,1203518.0,1558969.0,29.5,3323262.0,439942.0,249613.0,81.3
2021-04-01,2021,4,287839.0,3687.0,92.73,40.0,4.66,1143330.0,969184.0,35847.0,50.8,369016.0,1168380.0,16.4,1940143.0,150835.0,100252.0,86.3
2021-01-01,2021,1,525546.0,7511.0,85.84,88.0,6.08,4033073.0,1961844.0,113135.0,64.7,1170543.0,2174700.0,18.8,5407938.0,544708.0,157465.0,86.8
2020-10-01,2020,10,219722.0,3862.0,77.56,50.0,3.71,1119099.0,1265935.0,41803.0,41.9,202905.0,1111990.0,7.6,2443717.0,122847.0,52626.0,91.4
2020-07-01,2020,7,95311.0,1417.0,71.38,20.0,2.0,159137.0,220339.0,22346.0,24.1,29281.0,222876.0,4.4,615835.0,14913.0,212.0,93.3
2020-04-01,2020,4,65432.0,3156.0,65.68,48.0,7.0,36350.0,83869.0,10446.0,20.8,19652.0,93822.0,11.2,141419.0,24988.0,111.0,80.9
2020-01-01,2020,1,784482.0,6073.0,59.98,101.0,5.89,5098643.0,3402932.0,175831.0,58.0,2024084.0,3589906.0,23.0,6440727.0,1793024.0,450743.0,73.3
2019-10-01,2019,10,700304.0,4663.0,58.52,80.0,3.94,3227222.0,2929495.0,76303.0,50.3,1428321.0,2838045.0,22.2,4508337.0,1345826.0,430707.0,70.2
2019-07-01,2019,7,790649.0,6882.0,42.47,162.0,5.89,3110996.0,2662249.0,111722.0,51.0,1646049.0,2714919.0,27.0,4168927.0,1331881.0,541701.0,68.4
2019-04-01,2019,4,561040.0,5846.0,43.21,135.0,4.34,2150311.0,1840759.0,139957.0,50.3,1031338.0,1925556.0,24.1,2923636.0,973200.0,333292.0,68.4
2019-01-01,2019,1,841424.0,5541.0,37.35,148.0,7.08,6821698.0,2874817.0,93280.0,68.5,2234265.0,3859293.0,22.4,7343404.0,2009449.0,390987.0,73.7
2018-10-01,2018,10,518906.0,3775.0,37.04,102.0,4.11,3831699.0,2321285.0,102965.0,59.8,1453084.0,2466529.0,22.7,4656075.0,1302560.0,364163.0,72.7
2018-07-01,2018,7,1081864.0,4347.0,27.6,158.0,5.21,2809070.0,2349876.0,97796.0,51.1,1476656.0,2461154.0,26.9,4011961.0,938978.0,488635.0,73.0
2018-04-01,2018,4,704853.0,3407.0,20.25,168.0,5.13,2148625.0,1759640.0,147180.0,51.1,1348445.0,1795197.0,32.1,2717868.0,1083962.0,333647.0,64.7
2018-01-01,2018,1,1173066.0,2884.0,19.03,152.0,6.72,7458729.0,3701924.0,163787.0,65.3,2648535.0,4435749.0,23.2,8029861.0,2768610.0,465603.0,70.3
2017-10-01,2017,10,1027948.0,2721.0,17.66,154.0,5.99,3604243.0,2952977.0,163074.0,51.6,1887319.0,3236284.0,27.0,4928922.0,1704344.0,252539.0,70.5
2017-07-01,2017,7,1285930.0,3051.0,17.37,176.0,5.57,4469955.0,3397125.0,211162.0,53.2,2512814.0,3510642.0,29.9,5213992.0,2065527.0,564643.0,62.0
2017-04-01,2017,4,715345.0,1744.0,15.55,112.0,4.18,2367774.0,1926982.0,150844.0,51.2,1361274.0,1972326.0,29.4,3029217.0,1261951.0,282593.0,65.5
2017-01-01,2017,1,1082875.0,2187.0,16.11,136.0,6.37,6991383.0,3194383.0,96094.0,67.5,2978141.0,3750985.0,28.8,7488784.0,2358519.0,480824.0,72.3
2016-10-01,2016,10,916608.0,1992.0,15.39,129.0,5.51,3071989.0,2721267.0,148143.0,50.5,1975824.0,2822470.0,32.5,4565066.0,1157795.0,215264.0,75.0
2016-07-01,2016,7,801997.0,2493.0,15.1,165.0,5.24,3555917.0,2528221.0,123560.0,54.8,1925177.0,2639197.0,29.7,4114164.0,1733931.0,517085.0,63.5
2016-04-01,2016,4,567265.0,2825.0,14.62,193.0,6.21,1341714.0,1576677.0,140996.0,42.0,841272.0,1767912.0,26.4,2055084.0,887585.0,211132.0,64.4
2016-01-01,2016,1,977694.0,2486.0,13.77,181.0,8.58,6499482.0,3202598.0,33586.0,66.3,2583082.0,4053509.0,26.4,6782372.0,2590729.0,318535.0,69.2
2015-10-01,2015,10,759252.0,2178.0,9.49,230.0,8.77,2347159.0,2507497.0,113195.0,45.5,1498216.0,2755278.0,29.0,3478039.0,1322487.0,296876.0,67.4
2015-07-01,2015,7,830736.0,2252.0,9.14,246.0,5.06,2850117.0,2330953.0,223324.0,50.8,2043190.0,2594606.0,36.4,3620976.0,1397428.0,478767.0,64.6
2015-04-01,2015,4,526320.0,2056.0,8.86,232.0,4.61,2238908.0,2182017.0,120984.0,47.3,1206430.0,2322852.0,25.5,3076656.0,1202068.0,211032.0,65.0
2015-01-01,2015,1,1031073.0,2009.0,8.6,234.0,7.64,7158736.0,4170476.0,135572.0,61.3,2430617.0,5137728.0,20.8,8323550.0,2844095.0,386576.0,71.3
2014-10-01,2014,10,782700.0,1081.0,,,3.57,2613481.0,2590713.0,158140.0,47.1,1495232.0,2892325.0,26.9,3717766.0,1520258.0,260675.0,67.0
2014-07-01,2014,7,775938.0,1618.0,,,4.52,3290821.0,2509254.0,203164.0,52.6,1646069.0,2702269.0,26.3,4146255.0,1785363.0,301325.0,66.3
2014-04-01,2014,4,759658.0,1648.0,,,4.02,2532558.0,2568947.0,127602.0,46.3,1387755.0,2693090.0,25.4,3841455.0,1329290.0,228400.0,70.3
2014-01-01,2014,1,948347.0,1281.0,,,7.05,6889530.0,4403179.0,224075.0,59.1,2592290.0,5545719.0,22.2,7851841.0,3241993.0,381165.0,67.4
2013-10-01,2013,10,730048.0,976.0,,,4.44,3083436.0,3037123.0,311386.0,46.0,1678484.0,3317486.0,25.0,4540084.0,1789341.0,264748.0,67.7
2013-07-01,2013,7,1209881.0,1051.0,,,4.59,2995025.0,3125613.0,257636.0,45.4,1652060.0,3569233.0,25.1,4503526.0,1661651.0,360982.0,68.3
2013-04-01,2013,4,936854.0,777.0,,,4.82,2543386.0,2634997.0,273142.0,44.8,1464037.0,2851861.0,25.8,3833576.0,1595979.0,210270.0,67.6
2013-01-01,2013,1,1161820.0,1148.0,,,9.88,7627832.0,3248772.0,198225.0,67.7,2461678.0,4477698.0,21.8,7863973.0,2904756.0,196258.0,69.8
2012-10-01,2012,10,979211.0,613.0,,,3.72,3188562.0,2150249.0,364930.0,53.6,1663777.0,2488640.0,28.0,3951814.0,1604279.0,215354.0,66.4
2012-07-01,2012,7,896399.0,1170.0,,,5.38,2803653.0,2128166.0,370186.0,51.1,1591164.0,2617789.0,29.0,3271562.0,1740126.0,262292.0,59.6
2012-04-01,2012,4,813177.0,705.0,,,4.36,2637206.0,2359631.0,263949.0,48.6,1208221.0,2683201.0,22.3,3667828.0,1440955.0,174272.0,67.6
2012-01-01,2012,1,1331848.0,777.0,,,8.01,9154502.0,3020310.0,174990.0,73.4,2561823.0,4489645.0,20.5,8439141.0,3325297.0,305923.0,67.7
